sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
742414361161,,Default,simple,Default Category,base,MW SPRINKLE BOWL 11CM RED,MW SPRINKLE BOWL 11CM RED,,1,2,Taxable Goods,"Catalog, Search",2.99,,,,MW-SPRINKLE-BOWL-11CM-RED,MW SPRINKLE BOWL 11CM RED,MW SPRINKLE BOWL 11CM RED,MW SPRINKLE BOWL 11CM RED,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
752423551897,,Default,simple,Default Category,base,EAT COOKBOOK HOLDER,EAT COOKBOOK HOLDER,,1,2,Taxable Goods,"Catalog, Search",34.99,,,,EAT-COOKBOOK-HOLDER,EAT COOKBOOK HOLDER,EAT COOKBOOK HOLDER,EAT COOKBOOK HOLDER,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
761995020854,,Default,simple,Default Category,base,PERFECT TEA SPOON,PERFECT TEA SPOON,,1,2,Taxable Goods,"Catalog, Search",4.99,,,,PERFECT-TEA-SPOON,PERFECT TEA SPOON,PERFECT TEA SPOON,PERFECT TEA SPOON,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
761995020861,,Default,simple,Default Category,base,PERFECT COFFEE SPOON,PERFECT COFFEE SPOON,,1,2,Taxable Goods,"Catalog, Search",5.99,,,,PERFECT-COFFEE-SPOON,PERFECT COFFEE SPOON,PERFECT COFFEE SPOON,PERFECT COFFEE SPOON,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
761995024388,,Default,simple,Default Category,base,Stainless Steel 1.5-qt Mixing Bowl,Stainless Steel 1.5-qt Mixing Bowl,,1,2,Taxable Goods,"Catalog, Search",2.99,,,,Stainless-Steel-1.5-qt-Mixing-Bowl,Stainless Steel 1.5-qt Mixing Bowl,Stainless Steel 1.5-qt Mixing Bowl,Stainless Steel 1.5-qt Mixing Bowl,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7640119212678,,Default,simple,Default Category,base,"Swiss Diamond 7"" Fry Pan","Swiss Diamond 7"" Fry Pan",,1,2,Taxable Goods,"Catalog, Search",49.99,,,,Swiss-Diamond-7-Fry-Pan,"Swiss Diamond 7"" Fry Pan","Swiss Diamond 7"" Fry Pan","Swiss Diamond 7"" Fry Pan",2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7870,,Default,simple,Default Category,base,Essential Knife Skills 101 Class,Essential Knife Skills 101 Class,,0,2,Taxable Goods,"Catalog, Search",70,,,,Essential-Knife-Skills-101-Class,Essential Knife Skills 101 Class,Essential Knife Skills 101 Class,Essential Knife Skills 101 Class,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
78915022080,,Default,simple,Default Category,base,Progressive Butter Keeper,Progressive Butter Keeper,,1,2,Taxable Goods,"Catalog, Search",5.99,,,,Progressive-Butter-Keeper,Progressive Butter Keeper,Progressive Butter Keeper,Progressive Butter Keeper,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
812121011564,,Default,simple,Default Category,base,Repro Copper Eng. Wine Bucket,Repro Copper Eng. Wine Bucket,,1,2,Taxable Goods,"Catalog, Search",135,,,,Repro-Copper-Eng.-Wine-Bucket,Repro Copper Eng. Wine Bucket,Repro Copper Eng. Wine Bucket,Repro Copper Eng. Wine Bucket,2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
814782020336,,Default,simple,Default Category,base,"TABLECLOTH POPPY RED 60""X90""","TABLECLOTH POPPY RED 60""X90""",,1,2,Taxable Goods,"Catalog, Search",109,,,,TABLECLOTH-POPPY-RED-60X90,"TABLECLOTH POPPY RED 60""X90""","TABLECLOTH POPPY RED 60""X90""","TABLECLOTH POPPY RED 60""X90""",2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
814782020350,,Default,simple,Default Category,base,"TABLECLOTH POPPY RED 60""X120""","TABLECLOTH POPPY RED 60""X120""",,1,2,Taxable Goods,"Catalog, Search",139,,,,TABLECLOTH-POPPY-RED-60X120,"TABLECLOTH POPPY RED 60""X120""","TABLECLOTH POPPY RED 60""X120""","TABLECLOTH POPPY RED 60""X120""",2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
814782020480,,Default,simple,Default Category,base,"TABLECLOTH ASH 60""X90""","TABLECLOTH ASH 60""X90""",,1,2,Taxable Goods,"Catalog, Search",109,,,,TABLECLOTH-ASH-60X90,"TABLECLOTH ASH 60""X90""","TABLECLOTH ASH 60""X90""","TABLECLOTH ASH 60""X90""",2021-12-08,2021-12-08,,,Block after Info Column,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
