sku	product_type	categories	name	description	short_description	weight	price	url_key	meta_title	meta_keywords	meta_description	qty
86279110282	simple	Default Category	Cuisinart Brew Central 12-Cup Programmable Coffeemaker	Cuisinart Brew Central 12-Cup Programmable Coffeemaker		16	99.99	Cuisinart-Brew-Central-12-Cup-Programmable-Coffeemaker	Cuisinart Brew Central 12-Cup Programmable Coffeemaker	Cuisinart Brew Central 12-Cup Programmable Coffeemaker	Cuisinart Brew Central 12-Cup Programmable Coffeemaker	100
87854759826	simple	Default Category	Bormioli Rocco New Kalix Tumbler 12.75oz	Bormioli Rocco New Kalix Tumbler 12.75oz		1	4.99	Bormioli-Rocco-New-Kalix-Tumbler-12.75oz	Bormioli Rocco New Kalix Tumbler 12.75oz	Bormioli Rocco New Kalix Tumbler 12.75oz	Bormioli Rocco New Kalix Tumbler 12.75oz	100
883049009537	simple	Default Category	KitchenAid 5Qt Artisan Mixer - Blue Willow 	KitchenAid 5Qt Artisan Mixer - Blue Willow 		10	349.00	KitchenAid-5Qt-Artisan-Mixer-Blue-Willow	KitchenAid 5Qt Artisan Mixer - Blue Willow 	KitchenAid 5Qt Artisan Mixer - Blue Willow 	KitchenAid 5Qt Artisan Mixer - Blue Willow 	100
883049022345	simple	Default Category	ARTISAN 5QT TILT MIX CORNF BLU	ARTISAN 5QT TILT MIX CORNF BLU		1	349.00	ARTISAN-5QT-TILT-MIX-CORNF-BLU	ARTISAN 5QT TILT MIX CORNF BLU	ARTISAN 5QT TILT MIX CORNF BLU	ARTISAN 5QT TILT MIX CORNF BLU	100
883049215648	simple	Default Category	Artisan 5 Quart Capacity Glass Bowl Mixer - Candy Apple Red	Artisan 5 Quart Capacity Glass Bowl Mixer - Candy Apple Red		15	399.00	Artisan-5-Quart-Capacity-Glass-Bowl-Mixer-Candy-Apple-Red	Artisan 5 Quart Capacity Glass Bowl Mixer - Candy Apple Red	Artisan 5 Quart Capacity Glass Bowl Mixer - Candy Apple Red	Artisan 5 Quart Capacity Glass Bowl Mixer - Candy Apple Red	100
883049215655	simple	Default Category	KitchenAid 5Qt Artisan Mixer - Silver 	KitchenAid 5Qt Artisan Mixer - Silver 		10	349.00	KitchenAid-5Qt-Artisan-Mixer-Silver	KitchenAid 5Qt Artisan Mixer - Silver 	KitchenAid 5Qt Artisan Mixer - Silver 	KitchenAid 5Qt Artisan Mixer - Silver 	100
883049246307	simple	Default Category	SLOW COOKER 6QT S/S STD LID	SLOW COOKER 6QT S/S STD LID		1	99.99	SLOW-COOKER-6QT-S/S-STD-LID	SLOW COOKER 6QT S/S STD LID	SLOW COOKER 6QT S/S STD LID	SLOW COOKER 6QT S/S STD LID	100
883049266497	simple	Default Category	KitchenAid 7-Quart Pro Line Stand Mixer - Candy Apple Red	KitchenAid 7-Quart Pro Line Stand Mixer - Candy Apple Red		35	549.99	KitchenAid-7-Quart-Pro-Line-Stand-Mixer-Candy-Apple-Red	KitchenAid 7-Quart Pro Line Stand Mixer - Candy Apple Red	KitchenAid 7-Quart Pro Line Stand Mixer - Candy Apple Red	KitchenAid 7-Quart Pro Line Stand Mixer - Candy Apple Red	100
883049285870	simple	Default Category	Artisan 5 Quart Capacity Glass Bowl Mixer - Blueberry 	Artisan 5 Quart Capacity Glass Bowl Mixer - Blueberry 		15	399.00	Artisan-5-Quart-Capacity-Glass-Bowl-Mixer-Blueberry	Artisan 5 Quart Capacity Glass Bowl Mixer - Blueberry 	Artisan 5 Quart Capacity Glass Bowl Mixer - Blueberry 	Artisan 5 Quart Capacity Glass Bowl Mixer - Blueberry 	100
883049285894	simple	Default Category	Artisan 5 Quart Capacity Glass Bowl Mixer - Plumberry 	Artisan 5 Quart Capacity Glass Bowl Mixer - Plumberry 		15	399.00	Artisan-5-Quart-Capacity-Glass-Bowl-Mixer-Plumberry	Artisan 5 Quart Capacity Glass Bowl Mixer - Plumberry 	Artisan 5 Quart Capacity Glass Bowl Mixer - Plumberry 	Artisan 5 Quart Capacity Glass Bowl Mixer - Plumberry 	100
883049287843	simple	Default Category	Pro Line Food Processor 16 Cup - Candy Apple Red	Pro Line Food Processor 16 Cup - Candy Apple Red		35	599.00	Pro-Line-Food-Processor-16-Cup-Candy-Apple-Red	Pro Line Food Processor 16 Cup - Candy Apple Red	Pro Line Food Processor 16 Cup - Candy Apple Red	Pro Line Food Processor 16 Cup - Candy Apple Red	100
883049288932	simple	Default Category	KA SILVER MIX COVER KSM150/2/5	KA SILVER MIX COVER KSM150/2/5		1	39.00	KA-SILVER-MIX-COVER-KSM150/2/5	KA SILVER MIX COVER KSM150/2/5	KA SILVER MIX COVER KSM150/2/5	KA SILVER MIX COVER KSM150/2/5	100
883049293301	simple	Default Category	ARTISAN 5QT TILT MIXER WHITE	ARTISAN 5QT TILT MIXER WHITE		1	399.00	ARTISAN-5QT-TILT-MIXER-WHITE	ARTISAN 5QT TILT MIXER WHITE	ARTISAN 5QT TILT MIXER WHITE	ARTISAN 5QT TILT MIXER WHITE	100
883049299631	simple	Default Category	PRO NONSTICK 9" PIE PAN	PRO NONSTICK 9" PIE PAN		1	16.99	PRO-NONSTICK-9-PIE-PAN	PRO NONSTICK 9" PIE PAN	PRO NONSTICK 9" PIE PAN	PRO NONSTICK 9" PIE PAN	100
883049299679	simple	Default Category	PRO NONSTICK 9"X2" ROUND PAN	PRO NONSTICK 9"X2" ROUND PAN		1	18.99	PRO-NONSTICK-9X2-ROUND-PAN	PRO NONSTICK 9"X2" ROUND PAN	PRO NONSTICK 9"X2" ROUND PAN	PRO NONSTICK 9"X2" ROUND PAN	100
883049299846	simple	Default Category	KitchenAid 6 Quart Professional 6500 Stand Mixer- Glass Bowl - Frosted Pearl 	KitchenAid 6 Quart Professional 6500 Stand Mixer- Glass Bowl - Frosted Pearl 		20	549.99	KitchenAid-6-Quart-Professional-6500-Stand-Mixer-Glass-Bowl-Frosted-Pearl	KitchenAid 6 Quart Professional 6500 Stand Mixer- Glass Bowl - Frosted Pearl 	KitchenAid 6 Quart Professional 6500 Stand Mixer- Glass Bowl - Frosted Pearl 	KitchenAid 6 Quart Professional 6500 Stand Mixer- Glass Bowl - Frosted Pearl 	100
